place,movie_title,rating,year,star_cast
81,Good Will Hunting,8.295170734260537,1997,"Gus Van Sant (dir.), Robin Williams, Matt Damon"
82,Once Upon a Time in America,8.293362983816431,1984,"Sergio Leone (dir.), Robert De Niro, James Woods"
83,Kimi no na wa,8.287476932583148,2016,"Makoto Shinkai (dir.), Ryunosuke Kamiki, Mone Kamishiraishi"
84,3 Idiots,8.278069996192386,2009,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan"
85,Singin' in the Rain,8.275753459194915,1952,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor"
86,Tengoku to jigoku,8.274429901504508,1963,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada"
87,Requiem for a Dream,8.272570443093766,2000,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto"
88,Capharnaüm,8.269884283622595,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
89,Toy Story 3,8.269482371569705,2010,"Lee Unkrich (dir.), Tom Hanks, Tim Allen"
90,Star Wars: Episode VI - Return of the Jedi,8.263057366060865,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
91,Idi i smotri,8.261343233672827,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
92,Eternal Sunshine of the Spotless Mind,8.260558864795149,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
93,2001: A Space Odyssey,8.260440543171887,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
94,Jagten,8.25724358848404,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
95,Reservoir Dogs,8.256672874164087,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
96,Lawrence of Arabia,8.247591042422355,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
97,Citizen Kane,8.2475098708138,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
98,M - Eine Stadt sucht einen Mörder,8.24671543607129,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
99,Ikiru,8.246685872949948,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
10, North by Northwest,8.2439014229718,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
101,The Apartment,8.242240479855644,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
102,Vertigo,8.24189615797291,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
103,Le fabuleux destin d'Amélie Poulain,8.23949262952851,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
104,Double Indemnity,8.238279514259077,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
105,A Clockwork Orange,8.235860107871234,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
106,Full Metal Jacket,8.235177240672439,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
107,Hamilton,8.23473438496271,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
108,Scarface,8.234610695125063,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
109,Incendies,8.229192608583684,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
110,Heat,8.2262040612387,1995,"Michael Mann (dir.), Al Pacino, Robert De Niro"
111,Up,8.225442256409742,2009,"Pete Docter (dir.), Edward Asner, Jordan Nagai"
